,constant,error_sd,k,naive_rmse,rmse_at_k,run_num,sim_network,true_rmse,var1_coef,var1_sd
230,5.0,2.0,50,6.3271809326,4.36343327799,794,20_1000_ws_0-1,1.94459643503,3.0,1.0
231,5.0,2.0,60,6.3271809326,3.50995274112,794,20_1000_ws_0-1,1.94459643503,3.0,1.0
232,5.0,2.0,70,6.3271809326,2.67410498716,794,20_1000_ws_0-1,1.94459643503,3.0,1.0
233,5.0,2.0,80,6.3271809326,2.44141216572,794,20_1000_ws_0-1,1.94459643503,3.0,1.0
234,5.0,2.0,20,6.62879553372,6.07734862209,795,20_1000_ws_0-1,2.08838385797,3.0,1.0
235,5.0,2.0,30,6.62879553372,5.7819785157,795,20_1000_ws_0-1,2.08838385797,3.0,1.0
236,5.0,2.0,40,6.62879553372,5.14097590432,795,20_1000_ws_0-1,2.08838385797,3.0,1.0
237,5.0,2.0,50,6.62879553372,4.07824008882,795,20_1000_ws_0-1,2.08838385797,3.0,1.0
238,5.0,2.0,60,6.62879553372,2.96843762704,795,20_1000_ws_0-1,2.08838385797,3.0,1.0
239,5.0,2.0,20,6.5570265992,6.18793273446,419,20_1000_ws_0-1,1.98400044721,3.0,1.0
240,5.0,2.0,30,6.5570265992,5.62306986397,419,20_1000_ws_0-1,1.98400044721,3.0,1.0
241,5.0,2.0,40,6.5570265992,4.72227806097,419,20_1000_ws_0-1,1.98400044721,3.0,1.0
242,5.0,2.0,50,6.5570265992,3.49024852446,419,20_1000_ws_0-1,1.98400044721,3.0,1.0
243,5.0,2.0,60,6.5570265992,2.90729831132,419,20_1000_ws_0-1,1.98400044721,3.0,1.0
244,5.0,2.0,70,6.5570265992,2.19166929576,419,20_1000_ws_0-1,1.98400044721,3.0,1.0
245,5.0,2.0,20,6.71246624086,6.09171975277,418,20_1000_ws_0-1,2.04073147278,3.0,1.0
246,5.0,2.0,30,6.71246624086,6.29619385398,418,20_1000_ws_0-1,2.04073147278,3.0,1.0
247,5.0,2.0,40,6.71246624086,5.35550886587,418,20_1000_ws_0-1,2.04073147278,3.0,1.0
